Название фрейма,Фрейм,Значение,А-группа,А-класс (сумма),Форма,"А-класс (реальный, основа)",перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.Q,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф.S,имперф.MP,Источник,Комментарии
JUMP,1829,прыгать,k’anc’uri,"<ES P, P>",k’anc’uri,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
WRITE,1682,писать,q˳ā,"<ES P, P>",q˳ā,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
SAW,3543,пилить,qiq˳ani,"<ES P, P>",qiq˳ani,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
DRINK,1401,пить,s’ā,"<ES P, P>",s’ā,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
FADE (LOOSE COLOR),2704,вянуть,tark’uri,"<ES P, P>",tark’uri,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
ROT,2907,гнить,tordi,"<ES P, P>",tordi,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
BURNING,1428,гореть,b-ukã,"<ES P, P>",b-ukã,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
HEAT UP,1341,"топить (о доме, печи), греть",b-uL’ē,"<ES P, P>",b-uL’ē,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
SWEEP,230,подметать,łē,"<ES P, P>",łē,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
SHOUT,715,кричать (об осле),ʕandi,"<ES P, P>",ʕandi,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
"RISE (ONESELF), GO UP OR RISE (ONESELF)","1512, 3207",подниматься,b-aXiri,"<ES P, P>",b-aXiri,"<ES P, P>",0,1,1,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
"HALT (STOP), STOP DOING","2880, 3351",останавливаться,b-iRi,"<ES S, P S>",b-iRi,"<ES S, P S>",0,1,0,0,1,0,0,0,1,0,1,0,"[Татевосов 2016], [Татевосов 2005]",
"CATCH, HOLD","702, 1448","ловить, держать",b-iš̄i,"<ES S, P S>",b-iš̄i,"<ES S, P S>",0,1,0,0,1,0,0,0,1,0,1,0,"[Татевосов 2016], [Татевосов 2005]",
LIE DOWN,215,ложиться,helli,"<ES S, P S>",helli,"<ES S, P S>",0,1,0,0,1,0,0,0,1,0,1,0,"[Татевосов 2016], [Татевосов 2005]",
"SIT, SIT DOWN","1416, 1649","садиться, сидеть",haš’a,"<ES S, P S>",haš’a,"<ES S, P S>",0,1,0,0,1,0,0,0,1,0,1,0,"[Татевосов 2016], [Татевосов 2005]",
REJOICE,2192,радоваться,b-iX̄i,"<ES S, S>",b-iX̄i,"<ES S, S>",0,1,0,0,1,0,0,0,0,0,1,0,"[Татевосов 2016], [Татевосов 2005]",
