Название фрейма,Фрейм,Значение,А-группа,А-класс (сумма),Форма,А-класс (реальный),перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,перф. Q,имперф.P,имперф.P2,имперф.S,имперф. MP,Источник,Комментарии
REMAIN,1336,есть,sea-,"<ES, P; P>",sea-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
OPEN,1590,ждать,xalače-,<S; S>,xalače-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
OPEN,2309,жить,balǯe-,<S; S>,balǯe-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
TEAR (SHRED),,жужжать,guəŋgi-,<P; P>,guəŋgi-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
TEAR (SHRED),1523,забывать,oŋbo- / oŋbonase-,<ES; P>,oŋbo-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
TEAR (SHRED),1523,забывать,oŋbo- / oŋbonase-,<ES; P>,oŋbonase-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
TEAR (SHRED),737,загораться,taop-,<EP; —>,taop-,<EP; —>,1,0,0,0,0,0,0,0,0,0,0,0,[Oskolskaya 2017],найхинский говор
TEAR (SHRED),251,заострять,gea-,"<ES, P; P>",gea-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
TEAR (SHRED),3626,знать,sā-,<ES; S>,sā-,<ES; S>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
TEAR (SHRED),1413,играть,xupi-,"<ES, P; P>",xupi-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
FALL,2234,"идти, падать (о дожде, снеге)",tugdə-,<P; P>,tugdə-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
FALL,695,идти1,ənə-,"<EP, P; P>",ənə-,"<EP, P; P>",1,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
FALL,695,идти2,dūrə-,<P; P>,dūrə-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
PLOUGH,1468,искать (новую вещь),gələməči-,"<EP, P; P>",gələməči-,"<EP, P; P>",1,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
PLOUGH,,искать (потерянное),gələgu-,"<EP, P; P>",gələgu-,"<EP, P; P>",1,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
SOIL,808,капать,sabda-,<P; P>,sabda-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
SING,1892,касаться,toŋgala- / toŋgače-,"<ES, S; S>",toŋgala-,<ES; S>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
