Название фрейма,Фрейм,Значение,А-группа,А-класс,Форма,А-класс,перф.EP,перф.EMP,перф.ES,перф.Q,перф.P,перф.P2,перф.MP,перф.S,имперф.P,имперф.P2,имперф.MP,имперф.S,Источник,Комментарии,,
know,3626,знать,t'iidde / t'iid's'e,"<ES S, S>",t'iidde,"<S, S>",0,0,0,0,0,0,0,1,0,0,0,1,,,,
know,3626,узнать,t'iidde / t'iid's'e,"<ES S, S>",t'iid's'e,"<ES, ->",0,0,1,0,0,0,0,0,0,0,0,0,,,,
know how to,2238,уметь,maaht'e,"<S, S>",maaht'e,"<S, S>",0,0,0,0,0,0,0,1,0,0,0,1,,,,
leave,1752,уйти,ujjte,"<ES, ->",ujjte,"<ES, ->",0,0,1,0,0,0,0,0,0,0,0,0,,,,
lick,319,лизать,ɲualle,"<Q MP, MP>",ɲualle,"<Q MP, MP>",0,0,0,1,0,0,1,0,0,0,1,0,,,,
lie,"1411, 215",лежать,l'eešše,"<S, S>",l'eešše,"<S, S>",0,0,0,0,0,0,0,1,0,0,0,1,,,,
lie,"1411, 215",лечь,kɒmmle,"<ES, ->",kɒmmle,"<ES, ->",0,0,1,0,0,0,0,0,0,0,0,0,,,,
look for,1468,искать,ooʒe,"<P, P>",ooʒe,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,,,,
love / like,923,любить,šɒbše,"<S, S>",šɒbše,"<S, S>",0,0,0,0,0,0,0,1,0,0,0,1,,,,
remember,707,помнить,muš'š'te,"<S, S>",muš'š'te,"<S, S>",0,0,0,0,0,0,0,1,0,0,0,1,,,,
run,1519,бегать,v'iiǯ'e,"<P, P>",v'iiǯ'e,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,,,,
say,1458,сказать,c'eel̥'l̥'k'e,"<ES, ->",c'eel̥'l̥'k'e,"<ES, ->",0,0,1,0,0,0,0,0,0,0,0,0,,,,
scratch,1436,чесаться (P),suvve,"<P, P>",suvve,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,,,,
sharpen,251,точить,taahkte,"<ES P, P>",taahkte,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,,,,
sing,1261,петь,laavvle,"<ES P, P>",laavvle,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,,,,
