Фрейм,Значение,А-группа,А-класс (сумма),Форма,А-класс (реальный),перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,перф.Q,имперф.P,имперф.P2,имперф.S,имперф.MP,Источник,Комментарии
,жужжать,guəŋgi-,<P; P>,guəŋgi-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,забывать,oŋbo- / oŋbonase-,<ES; P>,oŋbo-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,забывать,oŋbo- / oŋbonase-,<ES; P>,oŋbonase-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,загораться,taop-,<EP; —>,taop-,<EP; —>,1,0,0,0,0,0,0,0,0,0,0,0,[Oskolskaya 2017],найхинский говор
,заострять,gea-,"<ES, P; P>",gea-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,знать,sā-,<ES; S>,sā-,<ES; S>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,играть,xupi-,"<ES, P; P>",xupi-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,"идти, падать (о дожде, снеге)",tugdə-,<P; P>,tugdə-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,идти1,ənə-,"<EP, P; P>",ənə-,"<EP, P; P>",1,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,идти2,dūrə-,<P; P>,dūrə-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,искать (потерянное),gələgu-,"<EP, P; P>",gələgu-,"<EP, P; P>",1,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,искать (новую вещь),gələməči-,"<EP, P; P>",gələməči-,"<EP, P; P>",1,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,капать,sabda-,<P; P>,sabda-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,касаться,toŋgala- / toŋgače-,"<ES, S; S>",toŋgala-,<ES; S>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,касаться,toŋgala- / toŋgače-,"<ES, S; S>",toŋgače-,<S; —>,0,0,0,0,1,0,0,0,0,0,0,0,[Oskolskaya 2017],найхинский говор
,качать (головой),xarxe- / xarxele-,"<ES, Q, MP; MP>",xarxe-,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,0,1,[Oskolskaya 2017],найхинский говор
,качать (головой),xarxe- / xarxele-,"<ES, Q, MP; MP>",xarxele-,<Q; —>,0,0,0,0,0,0,0,1,0,0,0,0,[Oskolskaya 2017],найхинский говор
,кашлять,siŋmusi- / siŋmupsin-,<Q; MP>,siŋmusi-,<MP; MP>,0,0,0,0,0,1,0,0,0,0,0,1,[Oskolskaya 2017],найхинский говор
,кашлять,siŋmusi- / siŋmupsin-,<Q; MP>,siŋmupsin-,<Q; —>,0,0,0,0,0,0,0,1,0,0,0,0,[Oskolskaya 2017],найхинский говор
,кипеть,pujsi-,<P; P>,pujsi-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,кончать,xoǯe- / xoǯeče-,<ES; P>,xoǯe-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,кончать,xoǯe- / xoǯeče-,<ES; P>,xoǯeče-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,копать,xulə-,"<ES, P; P>",xulə-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,кричать,mora- / morapsen-,<Q; MP>,mora-,<MP; MP>,0,0,0,0,0,1,0,0,0,0,0,1,[Oskolskaya 2017],найхинский говор
,кричать,mora- / morapsen-,<Q; MP>,morapsen-,<Q; —>,0,0,0,0,0,0,0,1,0,0,0,0,[Oskolskaya 2017],найхинский говор
,крутиться,kəndəli-,<P; P>,kəndəli-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,курить,damaxela-,"<EP, P; P>",damaxela-,"<EP, P; P>",1,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
