Фрейм,Значение,А-группа,А-класс,Форма,А-класс,перф.EP,перф.EMP,перф.ES,перф.Q,перф.P,перф.P2,перф.MP,перф.S,имперф.P,имперф.P2,имперф.S,имперф.MP,Источник,Комментарии,Легенда,
1831,встречать,,,väšliäš,"<ES, P>",0,0,1,0,0,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
2102,гореть,,,jə̑laš,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,есть примеры: 332,,
1451,улыбаться,,,jӛräš,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
2003,"течь, плыть",,,jogaš,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
1443,ходить,,,kaštaš,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,есть примеры: 333,,
,искать,,,kӛčäläš,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
1879,плясать,,,kuštaš,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
1413,играть,,,madaš,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
1839,плакать,,,mägӛräš,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
700,нести,,,namalaš,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
3371,"купаться, мыться",,,nüštӛläš,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
253,беречь,,,peregäš,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
1623,говорить,,,popaš,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
1711,"говорить, рассказывать",,,šajə̑štaš,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
1828,упрашивать,,,sarvalaš,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
715,"кричать, орать",,,saslaš,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
3302,ссориться,,,soredäläš,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
1355,смеяться,,,vaštə̑laš,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
299,"ругать, ругаться",,,və̑rsaš,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,Kashkin et al. (eds) 2023,,,
1585,спать,,,amalaš,"<S, S>",0,0,0,0,0,0,0,1,0,0,1,0,Kashkin et al. (eds) 2023,есть пример: 333 ,,
2561,болеть,,,jasə̑lanaš,"<S, S>",0,0,0,0,0,0,0,1,0,0,1,0,Kashkin et al. (eds) 2023,,,
1590,ждать,,,və̑čaš,"<S, S>",0,0,0,0,0,0,0,1,0,0,1,0,Kashkin et al. (eds) 2023,,,
