Название фрейма,Фрейм,Значение,А-группа,А-класс группы,Форма,А-класс,перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф.S,имперф. MP,Источник,Комментарии,,,
marry,203,жениться,ülänä,"<ES, P>",ülänä,"<ES, P>",0,1,0,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
<NA>,0,"селиться, располагаться",urnaša,"<ES, P>",urnaša,"<ES, P>",0,1,0,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
brake,966,"разбивать, ломать",wata,"<ES, P>",wata,"<ES, P>",0,1,0,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
find,719,находить,taba,"<ES, -->",taba,"<ES, -->",0,1,0,0,0,0,0,0,0,0,0,[Tatevosov et al. 2017],,,,
explode,3976,лопаться,šartlɤj,"<ES, -->",šartlɤj,"<ES, -->",0,1,0,0,0,0,0,0,0,0,0,[Tatevosov et al. 2017],,,,
dirty,1230,пачкаться,bujala,"<ES, -->",bujala,"<ES, -->",0,1,0,0,0,0,0,0,0,0,0,[Tatevosov et al. 2017],,,,
understand,1536,понимать,aŋnɤj,"<ES S, S>",aŋnɤj,"<ES S, S>",0,1,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],,,,
approach,1778,подходить,jarɤj,"<ES S, S>",jarɤj,"<ES S, S>",0,1,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],,,,
fear (be afraid),1419,бояться,kurka,"<ES S, S>",kurka,"<ES S, S>",0,1,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],,,,
love,923,любить,jarata,"<ES S, S>",jarata,"<ES S, S>",0,1,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],,,,
become angry,2215,сердиться,ačulana,"<ES S, S>",ačulana,"<ES S, S>",0,1,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],,,,
know (something),1410,знать,belä,"<ES S, S>",belä,"<ES S, S>",0,1,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],,,,
