Название фрейма,Фрейм,Значение,А-группа,А-класс (сумма),Форма,А-класс (реальный),перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,перф. Q,имперф.P,имперф.P2,имперф.S,имперф. MP,Источник,Комментарии
RUN,1519,бежать,tutu-,"<ES, P; P>",tutu-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
RUN,2133,бить,duktə-,"<ES, P; P>",duktə-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
STRIKE OR BEAT,1815,болеть,ənulu- / ənusi-,<ES; S>,ənulu-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
STRIKE OR BEAT,1815,болеть,ənulu- / ənusi-,<ES; S>,ənusi-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
ACHE,1419,бояться,ŋə̄lə- / ŋə̄ləči-,<ES; S>,ŋə̄lə-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
ACHE,1419,бояться,ŋə̄lə- / ŋə̄ləči-,<ES; S>,ŋə̄ləči-,<S; S>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
ACHE,2104,"брать, держать",ǯapa- / ǯapača-,"<ES, P; S>",ǯapa-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
ACHE,2104,"брать, держать",ǯapa- / ǯapača-,"<ES, P; S>",ǯapača-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
FEAR (BE AFRAID),1456,бросать,ǯolola- / ǯoloče-,<Q; MP>,ǯoloče-,<MP; MP>,0,0,0,0,0,1,0,0,0,0,0,1,[Oskolskaya 2017],горинский говор
FEAR (BE AFRAID),1456,бросать,ǯolola- / ǯoloče-,<Q; MP>,ǯolola-,<Q; —>,0,0,0,0,0,0,0,1,0,0,0,0,[Oskolskaya 2017],горинский говор
FEAR (BE AFRAID),1579,"быть, располагаться, находиться",bi-,<S; S>,bi-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
FEAR (BE AFRAID),1100,варить,puju- / pujuči-,"<ES, P; P>",puju-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
HOLD OR TAKE,1100,варить,puju- / pujuči-,"<ES, P; P>",pujuči-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
HOLD OR TAKE,,вечереть,siksəgu- / siksən-,<ES; S>,siksəgu-,<ES; S>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
HOLD OR TAKE,,вечереть,siksəgu- / siksən-,<ES; S>,siksən-,<ES; S>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
HOLD OR TAKE,1409,видеть,ičə- / ičəǯə-,"<ES, S; P>",ičə-,<ES; S>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
THROW,1409,видеть,ičə- / ičəǯə-,"<ES, S; P>",ičəǯə-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
THROW,581,возвращаться,ǯiǯu-,<ES; P>,ǯiǯu-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
THROW,"570, 1443","вставать, стоять",ele- / elese-,"<ES, P; S>",ele-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
THROW,"570, 1445","вставать, стоять",ele- / elese-,"<ES, P; S>",elese-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
BE,,вянуть,xaŋma-,<ES; P>,xaŋma-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
BE,,гаснуть,gūp-,<ES; P>,gūp-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
COOK (SOMETHING),2907,гнить,n'ā-,<ES; P>,n'ā-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
COOK (SOMETHING),1428,гореть (разрушение),ǯəgdə-,"<ES, P; P>",ǯəgdə-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
COOK (SOMETHING),,гореть (эмиссия света),ǯəgdə- / ǯəgdəgu-,"<EP, ES, P; P>",ǯəgdəgu-,<EP; —>,1,0,0,0,0,0,0,0,0,0,0,0,[Oskolskaya 2017],горинский говор
BELIEVE,,гореть (эмиссия света),ǯəgdə- / ǯəgdəgu-,"<EP, ES, P; P>",ǯəgdə-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
BELIEVE,1446,"достигать, доходить",ese-,<ES; —>,ese-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
,1423,драться,sore-,<P; P>,sore-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
,1415,думать (о),muruči-,"<ES, S; S>",muruči-,"<ES, S; S>",0,1,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
,1590,ждать,xalače-,<S; S>,xalače-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
SEE,2309,жить,balǯe-,<S; S>,balǯe-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
SEE,,жужжать,guəŋgi-,<P; P>,guəŋgi-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
SEE,1523,забывать,oŋgo-,<ES; —>,oŋgo-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
SEE,251,заострять,gea-,<P; P>,gea-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
COME BACK,3626,знать,sā-,"<ES, S; S>",sā-,"<ES, S; S>",0,1,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
COME BACK,695,идти,ənə-,"<EP, P; P>",ənə-,"<EP, P; P>",1,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
COME BACK,2234,"идти, падать (о дожде, снеге)",tugdə-,<P; P>,tugdə-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
"STAND UP, STAND",1468,искать1,ičəktə-,<P; P>,ičəktə-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
"STAND UP, STAND",1468,искать2,ičəčə-,<P; P>,ičəčə-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
"STAND UP, STAND",808,капать,sabda-,<P; P>,sabda-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
"STAND UP, STAND",1892,касаться,toŋgala- / toŋgase-,"<Q, S; MP, S>",toŋgala-,<Q; S>,0,0,0,0,0,0,0,1,0,0,1,0,[Oskolskaya 2017],горинский говор
,1892,касаться,toŋgala- / toŋgase-,"<Q, S; MP, S>",toŋgase-,<S; MP>,0,0,0,0,1,0,0,0,0,0,0,1,[Oskolskaya 2017],горинский говор
,879,кашлять,siŋmusi- / siŋmupsin-,<Q; MP>,siŋmusi-,<MP; MP>,0,0,0,0,0,1,0,0,0,0,0,1,[Oskolskaya 2017],горинский говор
,879,кашлять,siŋmusi- / siŋmupsin-,<Q; MP>,siŋmupsin-,<Q; —>,0,0,0,0,0,0,0,1,0,0,0,0,[Oskolskaya 2017],горинский говор
,792,кипеть,pujsi-,<P; P>,pujsi-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
ROT,1766,кончать,xoǯe-,<ES; P>,xoǯe-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
ROT,1418,копать,xulə-,"<ES, P; P>",xulə-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
BURNING,715,кричать,mora- / morapsen-,<Q; MP>,mora-,<MP; MP>,0,0,0,0,0,1,0,0,0,0,0,1,[Oskolskaya 2017],горинский говор
BURNING,715,кричать,mora- / morapsen-,<Q; MP>,morapsen-,<Q; —>,0,0,0,0,0,0,0,1,0,0,0,0,[Oskolskaya 2017],горинский говор
,,крутиться,kəndəli-,<P; P>,kəndəli-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
,1689,курить,damaxela- / damaxeče-,"<EP, P; P>",damaxela-,<EP; P> ,1,0,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
,1689,курить,damaxela- / damaxeče-,"<EP, P; P>",damaxeče-,<P; —>,0,0,1,0,0,0,0,0,0,0,0,0,[Oskolskaya 2017],горинский говор
DO,"1689, 1401	","курить, пить",ome-,"<ES, P; P>",ome-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
COME,2116,"лежать, спать",ao-,<S; S>,ao-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
COME,1441,лететь,dəgdə- / dəgdəgu-,"<EP, ES; P>",dəgdə-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
FIGHT,1441,лететь,dəgdə- / dəgdəgu-,"<EP, ES; P>",dəgdəgu-,"<EP, ES; —>",1,1,0,0,0,0,0,0,0,0,0,0,[Oskolskaya 2017],горинский говор
FIGHT,1487,лить,jəwəri- / jəwərsi-,"<ES, P; P>",jəwəri-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
THINK (REFLECT),1487,лить,jəwəri- / jəwərsi-,"<ES, P; P>",jəwərsi-,<P; ?>,0,0,1,0,0,0,0,0,—,—,—,—,[Oskolskaya 2017],горинский говор
THINK (REFLECT),215,ложиться,akkaŋgo-,"<ES, P; P>",akkaŋgo-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
EAT,966,ломать,bojale- / bojače-,"<ES, P; P>",bojale-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
WAIT (FOR),966,ломать,bojale- / bojače-,"<ES, P; P>",bojače-,<P; —>,0,0,1,0,0,0,0,0,0,0,0,0,[Oskolskaya 2017],горинский говор
WAIT (FOR),,лопаться,təkə̄-,<Q; —>,təkə̄-,<Q; —>,0,0,0,0,0,0,0,1,0,0,0,0,[Oskolskaya 2017],горинский говор
LIVE,923,любить,uləsi-,<S; S>,uləsi-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
LIVE,,махать (крыльями),xarxe- / xarxepsen-,<Q; MP>,xarxe-,<MP; MP>,0,0,0,0,0,1,0,0,0,0,0,1,[Oskolskaya 2017],горинский говор
,,махать (крыльями),xarxe- / xarxepsen-,<Q; MP>,xarxepsen-,<Q; —>,0,0,0,0,0,0,0,1,0,0,0,0,[Oskolskaya 2017],горинский говор
,3544,махать (платком),ole- / olepsen-,<Q; MP>,ole-,<MP; MP>,0,0,0,0,0,1,0,0,0,0,0,1,[Oskolskaya 2017],горинский говор
FORGET,3544,махать (платком),ole- / olepsen-,<Q; MP>,olepsen-,<Q; ?>,0,0,0,0,0,0,0,1,—,—,—,—,[Oskolskaya 2017],горинский говор
FORGET,,мёрзнуть,gəkči-,<ES; S>,gəkči-,<ES; S>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
FORGET,,мочиться,čiəči-,"<ES, P; P>",čiəči-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
LIGHT (IGNITE),972,мочь,mutə-,<ES; S>,mutə-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
SHARPEN (SOMETHING),1101,мучиться,ərulə-,"<ES, P; P>",ərulə-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
SHARPEN (SOMETHING),158,надевать,tətu-,"<ES, P; P>",tətu-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
KNOW,719,находить (новое),bā-,<ES; P>,bā-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
KNOW,3447,начинать,təpčiu-,<ES; P>,təpčiu-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
PLAY,1626,объяснять,alose-,<ES; P>,alose-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
GO,1573,опухать,xaolo-,"<ES, S; S>",xaolo-,"<ES, S; S>",0,1,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
FALL (OF SNOW AND RAIN),987,оставаться ,dərəǯi- / dərəǯigu-,<ES; —>,dərəǯi-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
FALL (OF SNOW AND RAIN),987,оставаться ,dərəǯi- / dərəǯigu-,<ES; —>,dərəǯigu-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],горинский говор
GO,1156,открывать,nixəli-,"<ES, P; P>",nixəli-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
GO,1735,отрывать1,gudəli- / gudəči-,"<ES, Q; P, MP>",gudəli-,<Q; P>,0,0,0,0,0,0,0,1,1,0,0,0,[Oskolskaya 2017],горинский говор
LOOK FOR,1735,отрывать1,gudəli- / gudəči-,"<ES, Q; P, MP>",gudəči-,<ES; MP>,0,1,0,0,0,0,0,0,0,0,0,1,[Oskolskaya 2017],горинский говор
,1735,отрывать2,loptole-,<ES; P>,loptole-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
LOOK FOR,1280,падать,tū-,<ES; P>,tū-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
LOOK FOR,1921,пахать,anǯala-,"<ES, P; P>",anǯala-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
DRIP (FALL IN GLOBULES),1015,пачкаться,jaŋsana-,<ES; P>,jaŋsana-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
DRIP (FALL IN GLOBULES),1261,петь,ǯare-,<ES; P>,ǯare-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
TOUCH,3543,пилить,pō-,"<ES, P; P>",pō-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],горинский говор
