Название фрейма,Фрейм,Значение,А-группа,А-класс (сумма),Форма,А-класс (реальный),перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф.S,имперф.MP,Комментарии,,
SHAKE,1909,качать,cajqa,"<ES, MP; MP>",cajqa,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,1,[Lyutikova et al 2006],,
COUGH,879,кашлять,zötel et,"<ES, MP; MP>",zötel et,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,1,[Lyutikova et al 2006],,
BOIL (OF LIQUID),792,кипеть,qajna,"<EP P, P>",qajna,"<EP P, P>",1,0,1,0,0,0,0,1,0,0,0,[Татевосов 2005],,
BOIL (OF LIQUID),792,кипеть,qajna,"<ES, EP, P1, P2; P1, P2>",qajna,"<ES, EP, P1, P2; P1, P2>",1,1,1,1,0,0,0,1,1,0,0,[Lyutikova et al 2006],,
BECOME SOUR,2229,киснуть,acɨ,"<ES, P; P>",acɨ,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
PUT,998,класть,sal,"<ES, P>",sal,<ES; P>,0,1,0,0,0,0,0,1,0,0,0,"[Татевосов 2005], [Lyutikova et al 2006]",,
DIG,1418,копать,qaz,"<ES, P; P>",qaz,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
PAINT (SOMETHING),3122,красить,boja,"<ES, P; P>",boja,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
SHOUT,715,кричать,qɨcɨr,"<EP, ES, P; P>",qɨcɨr,"<EP, ES, P; P>",1,1,1,0,0,0,0,1,0,0,0,"[Lyutikova et al 2006], [Татевосов 2016]",,
SHOUT,715,кричать,qɨcɨr,"<ES, P; P>",qɨcɨr,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
DESTROY,681,"крошить, разрушать",oj,"<ES, P; P>",oj,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
TURN (SOMETHING),1445,крутить,bur,"<ES, MP; P MP>",bur,"<ES, MP; P MP>",0,1,0,0,0,1,0,1,0,0,1,[Lyutikova et al 2006],,
WALK (TAKE A WALK),2890,"крутиться, бродить бесцельно, болтаться",ajlan,<P; P>,ajlan,<P; P>,0,0,1,0,0,0,0,1,0,0,0,[Татевосов 2016],,
BITE,1403,кусать,qap,"<ES, P, MP; P, MP>",qap,"<ES, P, MP; P, MP>",0,1,1,0,0,1,0,1,0,0,1,[Lyutikova et al 2006],,
,,ласкать,sɨla,<P; P>,sɨla,<P; P>,0,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
BARKING,1206,лаять,ür,"<ES, EMP, MP; MP>",ür,"<ES, EMP, MP; MP>",0,1,0,0,0,1,1,0,0,0,1,[Lyutikova et al 2006],,
